,Element,Latitude,Longitude,Radius,Opacity,Time,Color
101,I1,19.015384,4.758968,306.9767441860465,0.21999999999999997,0:00:50,#C1FE20
102,L1,18.969611,4.788837,798.139534883721,0.06,0:00:51,#C1FE20
103,I1,19.015384,4.758968,0,0,0:00:51,#FFFFFF
104,L1,18.969611,4.788837,0,0,0:00:52,#FFFFFF
105,I1,19.015384,4.758968,368.37209302325584,0.19999999999999998,0:00:52,#C1FE20
106,L1,18.969611,4.788837,859.5348837209302,0.039999999999999994,0:00:53,#C1FE20
107,I1,19.015384,4.758968,0,0,0:00:53,#FFFFFF
108,L1,18.969611,4.788837,0,0,0:00:54,#FFFFFF
109,I1,19.015384,4.758968,429.7674418604651,0.18,0:00:54,#C1FE20
110,L1,18.969611,4.788837,0,0,0:00:55,#FFFFFF
111,I1,19.015384,4.758968,0,0,0:00:55,#FFFFFF
112,L1,18.969611,4.788837,0,0,0:00:56,#FFFFFF
113,I1,19.015384,4.758968,491.16279069767444,0.16,0:00:56,#C1FE20
114,L1,18.969611,4.788837,0,0,0:00:57,#FFFFFF
115,I1,19.015384,4.758968,0,0,0:00:57,#FFFFFF
116,L1,18.969611,4.788837,0,0,0:00:58,#FFFFFF
117,I1,19.015384,4.758968,552.5581395348837,0.14,0:00:58,#C1FE20
118,L1,18.969611,4.788837,0,0,0:00:59,#FFFFFF
119,I1,19.015384,4.758968,0,0,0:00:59,#FFFFFF
120,L1,18.969611,4.788837,0,0,0:01:00,#FFFFFF
121,I1,19.015384,4.758968,613.953488372093,0.12000000000000001,0:01:00,#C1FE20
122,L1,18.969611,4.788837,0,0,0:01:01,#FFFFFF
123,I1,19.015384,4.758968,0,0,0:01:01,#FFFFFF
124,L1,18.969611,4.788837,0,0,0:01:02,#FFFFFF
125,I1,19.015384,4.758968,675.3488372093024,0.1,0:01:02,#C1FE20
126,L1,18.969611,4.788837,0,0,0:01:03,#FFFFFF
127,I1,19.015384,4.758968,0,0,0:01:03,#FFFFFF
128,L1,18.969611,4.788837,0,0,0:01:04,#FFFFFF
129,I1,19.015384,4.758968,736.7441860465117,0.08,0:01:04,#C1FE20
130,L1,18.969611,4.788837,0,0,0:01:05,#FFFFFF
131,I1,19.015384,4.758968,0,0,0:01:05,#FFFFFF
132,L1,18.969611,4.788837,0,0,0:01:06,#FFFFFF
133,I1,19.015384,4.758968,798.139534883721,0.06,0:01:06,#C1FE20
134,L1,18.969611,4.788837,0,0,0:01:07,#FFFFFF
135,I1,19.015384,4.758968,0,0,0:01:07,#FFFFFF
136,L1,18.969611,4.788837,0,0,0:01:08,#FFFFFF
137,I1,19.015384,4.758968,859.5348837209302,0.039999999999999994,0:01:08,#C1FE20
138,L1,18.969611,4.788837,0,0,0:01:09,#FFFFFF
139,I1,19.015384,4.758968,0,0,0:01:09,#FFFFFF
140,L1,18.969611,4.788837,0,0,0:01:10,#FFFFFF
141,I1,19.015384,4.758968,0,0,0:01:10,#FFFFFF
142,L1,18.969611,4.788837,0,0,0:01:11,#FFFFFF
143,I1,19.015384,4.758968,0,0,0:01:11,#FFFFFF
144,L1,18.969611,4.788837,0,0,0:01:12,#FFFFFF
145,I1,19.015384,4.758968,0,0,0:01:12,#FFFFFF
146,L1,18.969611,4.788837,0,0,0:01:13,#FFFFFF
147,I1,19.015384,4.758968,0,0,0:01:13,#FFFFFF
148,L1,18.969611,4.788837,0,0,0:01:14,#FFFFFF
149,I1,19.015384,4.758968,0,0,0:01:14,#FFFFFF
150,L1,18.969611,4.788837,0,0,0:01:15,#FFFFFF
151,I1,19.015384,4.758968,0,0,0:01:15,#FFFFFF
152,L1,18.969611,4.788837,0,0,0:01:16,#FFFFFF
153,I1,19.015384,4.758968,0,0,0:01:16,#FFFFFF
154,L1,18.969611,4.788837,0,0,0:01:17,#FFFFFF
155,I1,19.015384,4.758968,0,0,0:01:17,#FFFFFF
156,L1,18.969611,4.788837,0,0,0:01:18,#FFFFFF
157,I1,19.015384,4.758968,0,0,0:01:18,#FFFFFF
158,L1,18.969611,4.788837,0,0,0:01:19,#FFFFFF
159,I1,19.015384,4.758968,0,0,0:01:19,#FFFFFF
160,L1,18.969611,4.788837,0,0,0:01:20,#FFFFFF
161,I1,19.015384,4.758968,0,0,0:01:20,#FFFFFF
162,L1,18.969611,4.788837,0,0,0:01:21,#FFFFFF
163,I1,19.015384,4.758968,0,0,0:01:21,#FFFFFF
164,L1,18.969611,4.788837,0,0,0:01:22,#FFFFFF
165,I1,19.015384,4.758968,0,0,0:01:22,#FFFFFF
166,L1,18.969611,4.788837,0,0,0:01:23,#FFFFFF
167,I1,19.015384,4.758968,0,0,0:01:23,#FFFFFF
168,L1,18.969611,4.788837,0,0,0:01:24,#FFFFFF
169,I1,19.015384,4.758968,0,0,0:01:24,#FFFFFF
170,L1,18.969611,4.788837,0,0,0:01:25,#FFFFFF
171,I1,19.015384,4.758968,0,0,0:01:25,#FFFFFF
172,L1,18.969611,4.788837,0,0,0:01:26,#FFFFFF
173,I1,19.015384,4.758968,0,0,0:01:26,#FFFFFF
174,L1,18.969611,4.788837,0,0,0:01:27,#FFFFFF
175,I1,19.015384,4.758968,0,0,0:01:27,#FFFFFF
176,L1,18.969611,4.788837,0,0,0:01:28,#FFFFFF
177,I1,19.015384,4.758968,0,0,0:01:28,#FFFFFF
178,L1,18.969611,4.788837,0,0,0:01:29,#FFFFFF
179,I1,19.015384,4.758968,0,0,0:01:29,#FFFFFF
180,L1,18.969611,4.788837,0,0,0:01:30,#FFFFFF
181,I1,19.015384,4.758968,0,0,0:01:30,#FFFFFF
182,L1,18.969611,4.788837,0,0,0:01:31,#FFFFFF
183,I1,19.015384,4.758968,0,0,0:01:31,#FFFFFF
184,L1,18.969611,4.788837,0,0,0:01:32,#FFFFFF
185,I1,19.015384,4.758968,0,0,0:01:32,#FFFFFF
186,L1,18.969611,4.788837,0,0,0:01:33,#FFFFFF
187,I1,19.015384,4.758968,0,0,0:01:33,#FFFFFF
188,L1,18.969611,4.788837,0,0,0:01:34,#FFFFFF
189,I1,19.015384,4.758968,0,0,0:01:34,#FFFFFF
190,L1,18.969611,4.788837,0,0,0:01:35,#FFFFFF
191,I1,19.015384,4.758968,0,0,0:01:35,#FFFFFF
192,L1,18.969611,4.788837,0,0,0:01:36,#FFFFFF
193,I1,19.015384,4.758968,0,0,0:01:36,#FFFFFF
194,L1,18.969611,4.788837,0,0,0:01:37,#FFFFFF
195,I1,19.015384,4.758968,0,0,0:01:37,#FFFFFF
196,L1,18.969611,4.788837,0,0,0:01:38,#FFFFFF
197,I1,19.015384,4.758968,0,0,0:01:38,#FFFFFF
198,L1,18.969611,4.788837,0,0,0:01:39,#FFFFFF
199,I1,19.015384,4.758968,0,0,0:01:39,#FFFFFF
200,L1,18.969611,4.788837,0,0,0:01:40,#FFFFFF
201,I1,19.015384,4.758968,0,0,0:01:40,#FFFFFF
202,L1,18.969611,4.788837,0,0,0:01:41,#FFFFFF
